<BondForcePoints> 			
  0.76447753E+02 -0.45311741E+04  0.16952842E+06 -0.43890318E+07  0.55008364E+02 -0.27242104E+04  0.93456910E+05 -0.22583020E+07 	 0.13047850E+03 -0.10773116E+04  0.73077188E+04 -0.65370840E+05			
  0.68028407E+02 -0.39057288E+04  0.14319423E+06 -0.36328482E+07  0.49915704E+02 -0.23774824E+04  0.79907097E+05 -0.18912355E+07 	 0.12835258E+03 -0.10488651E+04  0.69154937E+04 -0.59082023E+05			
  0.60760663E+02 -0.33765461E+04  0.12139714E+06 -0.30202068E+07  0.45465238E+02 -0.20805488E+04  0.68559684E+05 -0.15905338E+07 	 0.12628204E+03 -0.10219122E+04  0.65610015E+04 -0.54044914E+05			
  0.54468998E+02 -0.29272000E+04  0.10327590E+06 -0.25212761E+07  0.41565655E+02 -0.18253965E+04  0.59016482E+05 -0.13429028E+07 	 0.12426403E+03 -0.99631671E+03  0.62367319E+04 -0.49933160E+05			
  0.49007531E+02 -0.25443517E+04  0.88148245E+05 -0.21130256E+07  0.38140185E+02 -0.16054454E+04  0.50959065E+05 -0.11381788E+07 	 0.12229594E+03 -0.97196899E+03  0.59371328E+04 -0.45676262E+05			
  0.44254517E+02 -0.22171150E+04  0.75470091E+05 -0.17773877E+07  0.35124025E+02 -0.14152673E+04  0.44129992E+05 -0.96787052E+06 	 0.12037539E+03 -0.94876855E+03  0.56630752E+04 -0.42456980E+05			
  0.40107948E+02 -0.19365633E+04  0.64805765E+05 -0.15002318E+07  0.32462267E+02 -0.12503617E+04  0.38322769E+05 -0.82580471E+06 	 0.11850017E+03 -0.92662579E+03  0.54083340E+04 -0.39734723E+05			
  0.36482042E+02 -0.16953431E+04  0.55804374E+05 -0.12713447E+07  0.30108228E+02 -0.11069803E+04  0.33367941E+05 -0.70912857E+06 	 0.11666823E+03 -0.90546918E+03  0.51699248E+04 -0.37770695E+05			
  0.33304403E+02 -0.14873817E+04  0.48176306E+05 -0.10758973E+07  0.28022066E+02 -0.98201809E+03  0.29113170E+05 -0.59574311E+06 	 0.11487767E+03 -0.88524280E+03  0.49433013E+04 -0.31624936E+05			
  0.30513737E+02 -0.13075872E+04  0.41720922E+05 -0.93498359E+06  0.26169717E+02 -0.87271433E+03  0.25538711E+05 -0.57121270E+06 	 0.11312670E+03 -0.86584906E+03  0.47535513E+04 -0.34780578E+05			
  0.28057967E+02 -0.11519234E+04  0.36111021E+05 -0.73089533E+06  0.24521874E+02 -0.77741404E+03  0.22111435E+05 -0.27502088E+06 	 0.11141374E+03 -0.84725226E+03  0.45448682E+04 -0.26975775E+05			
  0.25892717E+02 -0.10162500E+04  0.31725649E+05 -0.85079751E+06  0.23053291E+02 -0.69226855E+03  0.20461309E+05 -0.94167502E+06 	 0.10973720E+03 -0.82939642E+03  0.43830132E+04 -0.29588246E+05			
  0.23980313E+02 -0.89955699E+03  0.26620864E+05 -0.87903180E+05  0.21743066E+02 -0.62172342E+03  0.14811259E+05  0.10762978E+07 	 0.10809570E+03 -0.81221948E+03  0.42054839E+04 -0.25752695E+05			
  0.22286979E+02 -0.79412837E+03  0.26093445E+05 -0.15676789E+07  0.20567474E+02 -0.54956281E+03  0.21269046E+05 -0.22413820E+07 	 0.10648788E+03 -0.79570654E+03  0.40509675E+04 -0.24337627E+05			
  0.20790555E+02 -0.70856674E+03  0.16687371E+05  0.47516335E+06  0.19535494E+02 -0.49138321E+03  0.78207542E+04  0.62853292E+05 	 0.10491248E+03 -0.77979474E+03  0.39049419E+04 -0.22313004E+05			
  0.19443972E+02 -0.63611530E+03  0.19538351E+05  0.61664730E+06  0.18584513E+02 -0.45934595E+03  0.81978740E+04  0.15972100E+07 	 0.10336832E+03 -0.76444269E+03  0.37710637E+04 -0.24212504E+05			
  0.18254828E+02 -0.55056212E+03  0.23238235E+05 -0.22348078E+07  0.17711391E+02 -0.40738793E+03  0.17781134E+05 -0.14899634E+07 	 0.10185433E+03 -0.74964905E+03  0.36257891E+04 -0.17708398E+05			
  0.17228779E+02 -0.48442687E+03  0.98293882E+04  0.16829924E+06  0.16955819E+02 -0.35414296E+03  0.88413534E+04  0.10590368E+05 	 0.10036939E+03 -0.73535834E+03  0.35195383E+04 -0.21744605E+05			
  0.16300589E+02 -0.44308973E+03  0.10839184E+05 -0.10380850E+06  0.16282984E+02 -0.31865046E+03  0.89048956E+04 -0.43077828E+06 	 0.98912582E+02 -0.72154114E+03  0.33890708E+04 -0.16010100E+05			
